,t,x,y,z,regime,prob
8927,89.27,-8.602525060400989,-13.995533111163052,47.56856668738088,1.0,3.421968264359206e-109
8928,89.28,-9.141825865477195,-14.87654290875549,48.34230090195222,1.0,3.979000076668712e-121
8929,89.29,-9.715297569805024,-15.703185277166867,49.24009014955329,1.0,2.4940041817019295e-136
8930,89.3,-10.314086340541209,-16.21193862709529,50.20170970073985,1.0,5.274755261792365e-152
8931,89.31,-10.903871569196617,-16.868336037780022,51.338713816435735,1.0,2.897544625588335e-164
8932,89.32000000000001,-11.500318016054958,-17.357888175810846,52.59225466568137,1.0,3.955083526458212e-179
8933,89.33,-12.086075032030546,-17.736289387235843,53.96971485024646,1.0,3.2883752139518382e-192
8934,89.34,-12.651096467551076,-18.089101594625852,55.48356833383844,1.0,5.618395427697969e-204
8935,89.35000000000001,-13.194896980258553,-18.375271368767123,57.123739937112674,1.0,1.5496364965558418e-215
8936,89.36,-13.712934419109411,-18.34865374519688,58.833338773221186,1.0,3.5844174743910235e-226
8937,89.37,-14.176506351718158,-18.15917576193251,60.60155236429596,1.0,8.419506868188226e-232
8938,89.38,-14.574773292739593,-17.721984153848815,62.38104354103668,1.0,2.0638936677459228e-234
8939,89.39,-14.889494378850515,-16.883865318948406,64.09628636010197,1.0,1.4274457196842444e-232
8940,89.4,-15.088931472860304,-15.588390948089147,65.66164601959025,1.0,5.29201060303151e-224
8941,89.41,-15.138877420383189,-14.23217009881953,67.05484559847469,1.0,2.4923014927312853e-208
8942,89.42,-15.048206688226824,-12.906757136426386,68.25425244960786,1.0,2.0197505548630333e-191
8943,89.43,-14.834061733046779,-11.306024591184066,69.1889041380037,1.0,1.305520873322152e-174
8944,89.44,-14.481258018860508,-9.379905523800879,69.79331891045096,1.0,5.338867445484914e-155
8945,89.45,-13.971122769354546,-7.402074312565742,70.05790675806902,1.0,3.334967118707654e-133
8946,89.46000000000001,-13.314217923675665,-5.719222893028227,70.03818392879631,1.0,1.745192236592129e-112
8947,89.47,-12.554718420610921,-4.101621014569009,69.74032467175063,1.0,4.129626646435298e-95
8948,89.48,-11.70940868000673,-2.7374735170643385,69.22743873856247,1.0,1.1170461619563523e-79
8949,89.49,-10.81221516371249,-1.399850642470909,68.5027913017956,1.0,1.017674934895271e-66
8950,89.5,-9.870978711588332,-0.11453776516180336,67.59379682430324,1.0,1.5368284503426742e-55
8951,89.51,-8.895334616945679,0.830127435308486,66.60341700016583,1.0,3.067600631012899e-46
8952,89.52,-7.922788411720262,1.7159645413376134,65.51473373992587,1.0,1.3960775935199213e-38
8953,89.53,-6.958913116414474,2.391300742910198,64.39891084158302,1.0,1.8576946375374386e-32
8954,89.54,-6.023891730482007,2.896468616957977,63.28297231514845,1.0,1.9678298889215173e-27
8955,89.55,-5.131855695738009,3.198983389141847,62.21497394711501,1.0,2.5466550263450426e-23
8956,89.56,-4.298771787250024,3.3457228917104405,61.21116198448878,1.0,8.453583476774145e-20
8957,89.57000000000001,-3.5343223193539774,3.494121417940452,60.20775190618521,1.0,8.357610108575602e-17
8958,89.58,-2.8314779456245347,3.5082991348006054,59.3004332424324,1.0,1.207556750690174e-14
8959,89.59,-2.1975002375820205,3.5192170908916665,58.411007731387535,1.0,9.593659369534419e-13
8960,89.60000000000001,-1.625828504734652,3.467469727496433,57.607005165719215,1.0,2.1547306848739345e-11
8961,89.61,-1.1164986815115434,3.4177501902585745,56.82854952595628,1.0,2.752505487258628e-10
8962,89.62,-0.6630737943345316,3.381584228396323,56.04838025935657,1.0,1.5670651893607655e-09
8963,89.63,-0.2586079920614462,3.3303961247152847,55.349072166414366,1.0,4.4916061201701375e-09
8964,89.64,0.10029241961622687,3.2843915321194808,54.7246799173816,1.0,9.196024632395149e-09
8965,89.65,0.4187023308665523,3.2565186443971634,54.11340466748429,1.0,1.3198455441943789e-08
8966,89.66,0.7024839622196135,3.244226229342252,53.50941086005433,1.0,1.3428226484903594e-08
8967,89.67,0.9566581889318775,3.2445616289005454,52.909882338509554,1.0,1.0583483647657352e-08
8968,89.68,1.1854485329287443,3.268996739410445,52.35273547590445,1.0,6.9282330377148996e-09
8969,89.69,1.3938033535769143,3.290343356905896,51.76629825066049,1.0,3.62027285392483e-09
8970,89.7,1.5834573539098125,3.3305704641054246,51.20533221518044,1.0,1.8391937826892798e-09
8971,89.71000000000001,1.7581686649293737,3.4056681764970804,50.69389307446777,1.0,8.013437043555343e-10
8972,89.72,1.9229186160861444,3.516142367558269,50.22625213721837,1.0,2.695599213058526e-10
8973,89.73,2.082240991233357,3.614616811118624,49.73245151717265,1.0,6.843243008642725e-11
8974,89.74,2.2354785732218834,3.7372163169994574,49.26428302109827,1.0,1.7916713926712183e-11
8975,89.75,2.385652347599641,3.8766253893219225,48.81197356186319,1.0,3.754525943214755e-12
8976,89.76,2.534749651771869,4.042457396665794,48.38642355854021,1.0,6.490448513238863e-13
8977,89.77,2.6855204262612618,4.204407661960809,47.95506346267147,1.0,8.383422316035761e-14
8978,89.78,2.8374091498312164,4.429367064104143,47.586375804891205,1.0,1.0038126520020642e-14
8979,89.79,2.996604941258509,4.612707177342471,47.17925762283897,1.0,6.221749626636274e-16
8980,89.8,3.1582151648669052,4.860434592272355,46.832254845579904,1.0,4.6847179241327466e-17
8981,89.81,3.32843710760745,5.140833999187015,46.51682975611724,1.0,1.6580573585438938e-18
8982,89.82000000000001,3.509676796765407,5.470055571584852,46.24616916542973,1.0,3.3283973093918475e-20
8983,89.83,3.7057146742473512,5.821366646950456,45.9999182819781,1.0,2.93053166391295e-22
8984,89.84,3.9172798715176618,6.226071512625928,45.80204363148622,1.0,1.3488552484234353e-24
8985,89.85000000000001,4.148159035628488,6.629267531344084,45.61607298909933,1.0,2.0519448714511625e-27
8986,89.86,4.396269885200048,7.10045779301944,45.48987257800089,1.0,1.788493230710275e-30
8987,89.87,4.666688675981987,7.575811435780233,45.3867164374408,1.0,3.328856057163724e-34
8988,89.88,4.957600951961811,8.171960851228647,45.37748931409153,1.0,2.6803563815145206e-38
8989,89.89,5.279036941888495,8.667187594449473,45.34623762886472,1.0,1.365087819524041e-43
8990,89.9,5.6178520071445925,9.21476676412533,45.377448960915366,1.0,1.2149662496755296e-48
8991,89.91,5.977543482842666,9.819832724725678,45.479353752691004,1.0,1.6931713605507797e-54
8992,89.92,6.361772407030967,10.594329293603035,45.70894872150234,1.0,2.6037114723222864e-61
8993,89.93,6.785028095688174,11.351432302505685,45.99798452077766,1.0,3.0912486563082556e-70
8994,89.94,7.241668516369925,12.107567167665785,46.3632565525356,1.0,7.206312875590275e-80
